Year,County Name,Age Group,Victims
2007,Plymouth,5 Years Old and Younger,30
2011,Jefferson,5 Years Old and Younger,29
2010,Delaware,5 Years Old and Younger,21
2015,Winneshiek,11 Years Old and Older,4
2011,Wayne,11 Years Old and Older,6
2004,Union,6 to 10 Years Old,23
2008,Crawford,11 Years Old and Older,17
2012,Ida,5 Years Old and Younger,18
2017,Montgomery,11 Years Old and Older,7
2009,Dubuque,5 Years Old and Younger,211
2004,Clay,6 to 10 Years Old,22
2006,Hardin,5 Years Old and Younger,35
2013,Jefferson,6 to 10 Years Old,9
2009,Decatur,5 Years Old and Younger,27
2007,Calhoun,11 Years Old and Older,6
2012,Woodbury,11 Years Old and Older,85
2005,Cass,6 to 10 Years Old,10
2014,Madison,5 Years Old and Younger,15
2013,Ida,6 to 10 Years Old,13
2011,Audubon,6 to 10 Years Old,8
2013,Clay,11 Years Old and Older,15
2012,Pottawattamie,5 Years Old and Younger,227
2007,Calhoun,6 to 10 Years Old,14
2005,Iowa,5 Years Old and Younger,26
2009,Mills,5 Years Old and Younger,6
2014,Guthrie,6 to 10 Years Old,8
2006,Mitchell,5 Years Old and Younger,8
2006,Delaware,6 to 10 Years Old,12
2012,Benton,11 Years Old and Older,26
2005,Fremont,5 Years Old and Younger,7
2011,Lee,6 to 10 Years Old,59
2010,Dickinson,11 Years Old and Older,16
2010,Jefferson,11 Years Old and Older,10
2006,Carroll,11 Years Old and Older,21
2011,Johnson,5 Years Old and Younger,173
2012,Carroll,5 Years Old and Younger,34
2012,Clayton,6 to 10 Years Old,16
2017,Davis,5 Years Old and Younger,5
2008,Cedar,6 to 10 Years Old,14
2006,Clinton,6 to 10 Years Old,40
2017,Harrison,11 Years Old and Older,13
2017,Story,11 Years Old and Older,71
2004,Jackson,5 Years Old and Younger,37
2007,Story,11 Years Old and Older,45
2016,Emmet,6 to 10 Years Old,14
2015,Clay,11 Years Old and Older,12
2006,Worth,6 to 10 Years Old,12
2013,Montgomery,6 to 10 Years Old,33
2006,Marshall,6 to 10 Years Old,46
2005,Ida,11 Years Old and Older,3
2011,Marshall,11 Years Old and Older,40
2011,OBrien,11 Years Old and Older,14
2011,Cerro Gordo,11 Years Old and Older,53
2013,Harrison,6 to 10 Years Old,15
2013,Cass,11 Years Old and Older,19
2006,Buchanan,6 to 10 Years Old,25
2011,Hamilton,5 Years Old and Younger,28
2006,Allamakee,5 Years Old and Younger,20
2009,Jackson,6 to 10 Years Old,16
2005,Wayne,5 Years Old and Younger,13
2008,Buena Vista,6 to 10 Years Old,26
2013,Union,11 Years Old and Older,17
2008,Ida,6 to 10 Years Old,6
2006,Hardin,11 Years Old and Older,25
2005,Fremont,6 to 10 Years Old,1
2012,Emmet,11 Years Old and Older,5
2011,Plymouth,5 Years Old and Younger,31
2004,Calhoun,6 to 10 Years Old,15
2007,Sac,11 Years Old and Older,10
2009,Crawford,6 to 10 Years Old,15
2009,Emmet,6 to 10 Years Old,14
2012,Fayette,5 Years Old and Younger,51
2004,Mitchell,6 to 10 Years Old,13
2008,Linn,11 Years Old and Older,144
2006,Linn,11 Years Old and Older,252
2009,Adair,11 Years Old and Older,5
2008,Floyd,6 to 10 Years Old,27
2013,Muscatine,5 Years Old and Younger,95
2004,Washington,5 Years Old and Younger,31
2012,Dubuque,5 Years Old and Younger,215
2010,Chickasaw,5 Years Old and Younger,26
2010,Appanoose,5 Years Old and Younger,65
2017,Des Moines,5 Years Old and Younger,98
2011,Guthrie,11 Years Old and Older,12
2004,Jasper,11 Years Old and Older,22
2012,Benton,6 to 10 Years Old,13
2007,Wright,11 Years Old and Older,11
2011,Decatur,6 to 10 Years Old,7
2011,Dubuque,6 to 10 Years Old,89
2005,Jackson,11 Years Old and Older,22
2008,Franklin,5 Years Old and Younger,26
2006,Polk,11 Years Old and Older,392
2017,Marion,11 Years Old and Older,25
2009,Hamilton,6 to 10 Years Old,21
2015,Calhoun,6 to 10 Years Old,7
2011,Keokuk,5 Years Old and Younger,20
2012,Jasper,5 Years Old and Younger,88
2008,Jones,5 Years Old and Younger,22
2007,Wayne,11 Years Old and Older,11
2006,Ringgold,5 Years Old and Younger,16
2012,Jasper,11 Years Old and Older,47
2011,Grundy,5 Years Old and Younger,11
2012,Jasper,6 to 10 Years Old,47
2014,Adams,6 to 10 Years Old,3
2014,Greene,5 Years Old and Younger,8
2010,Appanoose,6 to 10 Years Old,26
2017,Fayette,6 to 10 Years Old,15
2017,Bremer,6 to 10 Years Old,11
2012,Delaware,11 Years Old and Older,13
2013,Sioux,11 Years Old and Older,25
2014,Marshall,6 to 10 Years Old,29
2007,Dubuque,6 to 10 Years Old,103
2008,Davis,5 Years Old and Younger,15
2017,Fremont,11 Years Old and Older,7
2013,Chickasaw,6 to 10 Years Old,14
2012,Ida,6 to 10 Years Old,4
2011,Sioux,11 Years Old and Older,14
2015,Van Buren,6 to 10 Years Old,1
2010,Monroe,11 Years Old and Older,9
2006,Montgomery,5 Years Old and Younger,26
2009,Clayton,11 Years Old and Older,6
2013,Monroe,11 Years Old and Older,11
2015,Carroll,5 Years Old and Younger,24
2011,Howard,11 Years Old and Older,6
2006,Worth,11 Years Old and Older,14
2004,Winneshiek,11 Years Old and Older,10
2014,Des Moines,6 to 10 Years Old,25
2014,Fayette,5 Years Old and Younger,18
2013,Chickasaw,5 Years Old and Younger,16
2012,Hamilton,11 Years Old and Older,28
2017,Boone,5 Years Old and Younger,36
2009,Pottawattamie,11 Years Old and Older,98
2006,Palo Alto,11 Years Old and Older,11
2010,Emmet,5 Years Old and Younger,21
2013,Guthrie,5 Years Old and Younger,20
2011,Polk,5 Years Old and Younger,837
2017,Dallas,6 to 10 Years Old,37
2004,Jefferson,6 to 10 Years Old,17
2011,Jefferson,6 to 10 Years Old,10
2015,Johnson,5 Years Old and Younger,87
2012,Mitchell,6 to 10 Years Old,6
2009,Clarke,5 Years Old and Younger,21
2006,Louisa,11 Years Old and Older,10
2006,Mills,11 Years Old and Older,23
2006,Adair,11 Years Old and Older,12
2010,Floyd,5 Years Old and Younger,48
2006,Sioux,11 Years Old and Older,19
2013,Davis,6 to 10 Years Old,7
2013,Clayton,5 Years Old and Younger,21
2012,Hardin,6 to 10 Years Old,24
2016,Mills,11 Years Old and Older,11
2005,Iowa,11 Years Old and Older,19
2013,Dallas,11 Years Old and Older,40
2012,Jones,11 Years Old and Older,11
2008,Bremer,5 Years Old and Younger,22
2004,Hancock,5 Years Old and Younger,13
2017,Johnson,6 to 10 Years Old,58
2008,Benton,11 Years Old and Older,27
2012,Buchanan,6 to 10 Years Old,15
2016,Madison,5 Years Old and Younger,6
2014,Winnebago,6 to 10 Years Old,6
2004,Pottawattamie,11 Years Old and Older,128
2011,Fayette,5 Years Old and Younger,40
2008,Jackson,5 Years Old and Younger,47
2006,Scott,6 to 10 Years Old,185
2015,Story,5 Years Old and Younger,66
2010,Pottawattamie,5 Years Old and Younger,208
2008,Guthrie,11 Years Old and Older,14
2010,Franklin,5 Years Old and Younger,31
2005,Marion,11 Years Old and Older,28
2008,Winnebago,11 Years Old and Older,9
